綜合,#genre#
戲劇免費看1台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/4gtv/270
戲劇免費看2台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/4gtv/244
經典電影台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/4gtv/201
電影免費看2台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/4gtv/245
電影原聲台CMusic,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/4gtv/218
花系列經典劇場,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/4gtv/279
CinemaWorld,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/4gtv/225
HITS頻道,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/4gtv/186
RockAction,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/4gtv/180
RockEntertainment,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/4gtv/275
金光布袋戲,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/4gtv/236
霹靂布袋戲,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/4gtv/301


生活旅遊,#genre#
民視旅遊台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/litv-ftv07
ELTA生活旅遊,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/4gtv/237
ELTA生活英語,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/litv-longturn20
亞洲旅遊台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/litv-longturn17
GlobalTrekker,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/4gtv/252
Globetrotter環遊旅行家,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/4gtv-4gtv016
LUXETV,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/4gtv/175
PetClubTV,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/4gtv/182
TV5MONDEStyle,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/4gtv/178
車迷TV,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/4gtv/160
LoveNature,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/4gtv/139
Fun探索娛樂台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/4gtv/274
幸福空間居家台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/4gtv/168


音樂綜藝,#genre#
民視綜藝台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/4gtv-4gtv004
靖天育樂台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/4gtv-4gtv062
靖天歡樂台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/4gtv-4gtv054
龍華偶像台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/litv-longturn12
龍華日韓台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/litv-longturn11
TVBS綜藝台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/4gtv/284
TVBS歡樂台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/4gtv-4gtv068
TVBS精采台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/4gtv-4gtv067
八大精彩台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/4gtv-4gtv034
八大綜藝台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/4gtv-4gtv039
ELTA娛樂台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/4gtv-4gtv070
Classica古典樂,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/4gtv-4gtv059
Lifetime娛樂頻道,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/4gtv/217
MTVLiveHD音樂頻道,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/4gtv/213
MezzoLive,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/4gtv-4gtv083
豬哥亮歌廳秀,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/4gtv-4gtv006
TraceUrban,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/4gtv-4gtv082


少兒,#genre#
靖天映畫台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/4gtv-4gtv055
靖天卡通台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/4gtv-4gtv044
龍華卡通台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/litv-longturn01
靖洋卡通NiceBingo,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/4gtv-4gtv057
DreamWorks夢工廠動畫,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/4gtv/282
Nickelodeon,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/4gtv/185
NickJr.兒童頻道,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/4gtv/219
i-Fun動漫台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/litv-ftv15
兒童卡通台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/4gtv/269
精選動漫台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/4gtv/204
經典卡通台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/4gtv/202
達文西頻道,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/4gtv-4gtv018
超人力霸王整套看,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/4gtv/278
MOMO親子台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/4gtv/231
LiveABC互動英語台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/4gtv/188
CartoonNetwork,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/beesport/UK_Cartoon_Network_Live_TV


其他,#genre#
TVBS,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/4gtv-4gtv073
History歷史頻道,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/4gtv/214
CI罪案偵查頻道,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/4gtv/215
Smart知識台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/litv-longturn19
視納華仁紀實頻道,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/4gtv-4gtv013
原住民族電視台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/4gtv/273
客家電視台,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/4gtv-4gtv043
滾動力Rollor,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/4gtv/249
好消息,http://158.178.205.137:8848/88164962/proxy/http://158.178.205.137:5000/litv/litv-ftv16
