央视,#genre#
CCTV1,http://my4.zhoujie218.top:50000/ysp/cctv1
CCTV2,http://my4.zhoujie218.top:50000/ysp/cctv2
CCTV3,http://my4.zhoujie218.top:50000/ysp/cctv3
CCTV4,http://my4.zhoujie218.top:50000/ysp/cctv4
CCTV5,http://my4.zhoujie218.top:50000/ysp/cctv5
CCTV5+,http://my4.zhoujie218.top:50000/ysp/cctv5p
CCTV6,http://my4.zhoujie218.top:50000/ysp/cctv6
CCTV7,http://my4.zhoujie218.top:50000/ysp/cctv7
CCTV8,http://my4.zhoujie218.top:50000/ysp/cctv8
CCTV9,http://my4.zhoujie218.top:50000/ysp/cctv9
CCTV10,http://my4.zhoujie218.top:50000/ysp/cctv10
CCTV11,http://my4.zhoujie218.top:50000/ysp/cctv11
CCTV12,http://my4.zhoujie218.top:50000/ysp/cctv12
CCTV13,http://my4.zhoujie218.top:50000/ysp/cctv13
CCTV14,http://my4.zhoujie218.top:50000/ysp/cctv14
CCTV15,http://my4.zhoujie218.top:50000/ysp/cctv15
CCTV16,http://my4.zhoujie218.top:50000/ysp/cctv16
CCTV17,http://my4.zhoujie218.top:50000/ysp/cctv17
CCTV4K,http://my4.zhoujie218.top:50000/ysp/cctv4k
CCTV8K,http://my4.zhoujie218.top:50000/ysp/cctv8k
CCTV兵器科技,http://my4.zhoujie218.top:50000/ysp/cctv-bingqikeji
CCTV怀旧剧场,http://my4.zhoujie218.top:50000/ysp/cctv-huaijiujuchang
CCTV第一剧场,http://my4.zhoujie218.top:50000/ysp/cctv-diyijuchang
CCTV风云剧场,http://my4.zhoujie218.top:50000/ysp/cctv-fengyunjuchang
CCTV风云音乐,http://my4.zhoujie218.top:50000/ysp/cctv-fengyunyinyue
CCTV风云足球,http://my4.zhoujie218.top:50000/ysp/cctv-fengyunzuqiu
CCTV央视台球,http://my4.zhoujie218.top:50000/ysp/cctv-yangshitaiqiu
CCTV高尔夫网球,http://my4.zhoujie218.top:50000/ysp/cctv-gaoerfuwangqiu
CCTV世界地理,http://my4.zhoujie218.top:50000/ysp/cctv-shijiedili
CCTV女性时尚,http://my4.zhoujie218.top:50000/ysp/cctv-nvxingshishang
CCTV卫生健康,http://my4.zhoujie218.top:50000/ysp/cctv-weishengjiankang
CCTV央视文化精品,http://my4.zhoujie218.top:50000/ysp/cctv-wenhuajingpin
CCTV电视指南,http://my4.zhoujie218.top:50000/ysp/cctv-dianshizhinan
CGTN,http://my4.zhoujie218.top:50000/ysp/cgtn
CGTN法语,http://my4.zhoujie218.top:50000/ysp/cgtn-french
CGTN俄语,http://my4.zhoujie218.top:50000/ysp/cgtn-russian
CGTN阿拉伯语,http://my4.zhoujie218.top:50000/ysp/cgtn-arabic
CGTN西班牙语,http://my4.zhoujie218.top:50000/ysp/cgtn-spanish
CGTN外语纪录,http://my4.zhoujie218.top:50000/ysp/cgtn-dockmentary
中国教育电视台1,http://my4.zhoujie218.top:50000/ysp/cetv1


卫视,#genre#
北京卫视,http://my4.zhoujie218.top:50000/ysp/beijing
江苏卫视,http://my4.zhoujie218.top:50000/ysp/jiangsu
东方卫视,http://my4.zhoujie218.top:50000/ysp/dongfang
浙江卫视,http://my4.zhoujie218.top:50000/ysp/zhejiang
湖南卫视,http://my4.zhoujie218.top:50000/ysp/hunan
湖北卫视,http://my4.zhoujie218.top:50000/ysp/hubei
天津卫视,http://my4.zhoujie218.top:50000/ysp/tianjin
广东卫视,http://my4.zhoujie218.top:50000/ysp/guangdong
广西卫视,http://my4.zhoujie218.top:50000/ysp/guangxi
黑龙江卫视,http://my4.zhoujie218.top:50000/ysp/heilongjiang
海南卫视,http://my4.zhoujie218.top:50000/ysp/hainan
重庆卫视,http://my4.zhoujie218.top:50000/ysp/chongqing
深圳卫视,http://my4.zhoujie218.top:50000/ysp/shenzhen
四川卫视,http://my4.zhoujie218.top:50000/ysp/sichuan
河南卫视,http://my4.zhoujie218.top:50000/ysp/henan
东南卫视,http://my4.zhoujie218.top:50000/ysp/dongnan
贵州卫视,http://my4.zhoujie218.top:50000/ysp/guizhou
江西卫视,http://my4.zhoujie218.top:50000/ysp/jiangxi
辽宁卫视,http://my4.zhoujie218.top:50000/ysp/liaoning
安徽卫视,http://my4.zhoujie218.top:50000/ysp/anhui
河北卫视,http://my4.zhoujie218.top:50000/ysp/hebei
山东卫视,http://my4.zhoujie218.top:50000/ysp/shandong
新疆卫视,http://my4.zhoujie218.top:50000/ysp/xinjiang
兵团卫视,http://my4.zhoujie218.top:50000/ysp/bingtuan


黄金赛事,#genre#
ATP1000男子网球大师赛蒙特利尔站第三轮、1/4决赛,http://my4.zhoujie218.top:50000/ysp/2024529703


