央视频道MY,#genre#
CCTV7,https://edge1.laotv.la/live/CCTV7/index.m3u8
CCTV7,http://58.42.59.104/hljbuv52.live.bestvcdn.com.cn/liveplay-kk.rtxapp.com/live/program/live/cctv7/1300000/mnf.m3u8
CCTV7,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/cctv7/1300000/mnf.m3u8
CCTV7,http://111.75.151.236:50085/newlive/live/hls/7/live.m3u8
CCTV8,http://66.165.240.154:8080/live/jsydcctv8/hls.m3u8
CCTV8,http://154.yfvodcdn.com:8080/live/jsydcctv8/hls.m3u8
CCTV8,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/cctv8hd8m/8000000/mnf.m3u8
CCTV8,http://58.42.59.104/hljbuv52.live.bestvcdn.com.cn/liveplay-kk.rtxapp.com/live/program/live/cctv8hd8m/8000000/mnf.m3u8
CCTV8,http://223.109.210.41/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel41142/index.m3u8
CCTV8,http://58.35.70.169:10055/live/cctv08/hls.m3u8
CCTV8,http://120.197.112.28:9901/tsfile/live/1009_1.m3u8
CCTV8,http://111.75.151.236:50085/newlive/live/hls/8/live.m3u8
CCTV8,http://php.jdshipin.com:8880/bst.php?id=cctv8hd/4000000
CCTV9,http://66.165.240.154:8080/live/jsydcctv9/hls.m3u8
CCTV9,https://node1.olelive.com:6443/live/CCTV9HD/hls.m3u8
CCTV9,http://110.178.52.190:8085/udp/239.1.1.16:8016
CCTV9,http://58.42.59.104/hljbuv52.live.bestvcdn.com.cn/liveplay-kk.rtxapp.com/live/program/live/cctv9hd8m/8000000/mnf.m3u8
CCTV9,http://154.yfvodcdn.com:8080/live/jsydcctv9/hls.m3u8
CCTV9,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/cctv9hd8m/8000000/mnf.m3u8
CCTV9,http://111.75.151.236:50085/newlive/live/hls/9/live.m3u8
CCTV9,http://221.210.64.165:2233/hls/16/index.m3u8
CCTV9,http://php.jdshipin.com:8880/bst.php?id=cctv9hd8m/8000000
CCTV10,http://66.165.240.154:8080/live/jsydcctv10/hls.m3u8
CCTV10,http://154.yfvodcdn.com:8080/live/jsydcctv10/hls.m3u8
CCTV10,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/cctv10hd8m/8000000/mnf.m3u8
CCTV10,http://58.42.59.104/hljbuv52.live.bestvcdn.com.cn/liveplay-kk.rtxapp.com/live/program/live/cctv10hd8m/8000000/mnf.m3u8
CCTV10,http://58.35.70.169:10055/live/cctv10/hls.m3u8
CCTV10,http://hls.cntv.kcdnvip.com/asp/hls/1200/0303000a/3/default/25137bd7c4494128bf0cba271974928f/1200.m3u8
CCTV10,http://111.75.151.236:50085/newlive/live/hls/10/live.m3u8
CCTV10,http://221.210.64.165:2233/hls/17/index.m3u8
CCTV10,http://php.jdshipin.com:8880/bst.php?id=cctv10hd/4000000
CCTV11,http://66.165.240.154:8080/live/jsydcctv11/hls.m3u8
CCTV11,http://154.yfvodcdn.com:8080/live/jsydcctv11/hls.m3u8
CCTV11,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/cctv11hd8m/8000000/mnf.m3u8
CCTV11,http://58.42.59.104/hljbuv52.live.bestvcdn.com.cn/liveplay-kk.rtxapp.com/live/program/live/cctv11hd8m/8000000/mnf.m3u8
CCTV11,http://58.35.70.169:10055/live/cctv11/hls.m3u8
CCTV11,http://111.75.151.236:50085/newlive/live/hls/11/live.m3u8
CCTV11,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/cctv11/1300000/mnf.m3u8
CCTV11,http://58.42.59.104/hljbuv52.live.bestvcdn.com.cn/liveplay-kk.rtxapp.com/live/program/live/cctv11/1300000/mnf.m3u8
CCTV11,http://php.jdshipin.com:8880/bst.php?id=cctv11hd8m/8000000
CCTV12,http://66.165.240.154:8080/live/jsydcctv12/hls.m3u8
CCTV12,http://154.yfvodcdn.com:8080/live/jsydcctv12/hls.m3u8
CCTV12,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/cctv12hd8m/8000000/mnf.m3u8
CCTV12,http://58.42.59.104/hljbuv52.live.bestvcdn.com.cn/liveplay-kk.rtxapp.com/live/program/live/cctv12hd8m/8000000/mnf.m3u8
CCTV12,http://php.jdshipin.com:8880/bst.php?id=cctv12hd8m/8000000
CCTV12,http://58.35.70.169:10055/live/cctv12/hls.m3u8
CCTV12,http://111.75.151.236:50085/newlive/live/hls/12/live.m3u8
CCTV12,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/cctv12/1300000/mnf.m3u8
CCTV12,http://58.42.59.104/hljbuv52.live.bestvcdn.com.cn/liveplay-kk.rtxapp.com/live/program/live/cctv12/1300000/mnf.m3u8
CCTV13,http://154.yfvodcdn.com:8080/live/jsydcctv13/hls.m3u8
CCTV13,https://node1.olelive.com:6443/live/CCTV13HD/hls.m3u8
CCTV13,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/cctv13xwhd8m/8000000/mnf.m3u8
CCTV13,http://115.201.170.73:9999/rtp/233.50.201.246:5140
CCTV13,http://119.166.7.60:6666/udp/239.253.254.175:8000
CCTV13,http://58.35.70.169:10055/live/cctv13/hls.m3u8
CCTV13,http://live.chunfei.top/live02/cctv.m3u8?channel=cctvnews
CCTV13,http://171.117.41.102:9999/tsfile/live/0013_1.m3u8
CCTV13,http://111.75.151.236:50085/newlive/live/hls/13/live.m3u8
CCTV13,http://125.82.171.210:8888/rtp/235.254.198.9:1312
CCTV14,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/cctvsehd8m/8000000/mnf.m3u8
CCTV14,http://58.42.59.104/hljbuv52.live.bestvcdn.com.cn/liveplay-kk.rtxapp.com/live/program/live/cctvsehd8m/8000000/mnf.m3u8
CCTV14,http://58.35.70.169:10055/live/cctv14/hls.m3u8
CCTV14,http://154.yfvodcdn.com:8080/live/jsydcctv14/hls.m3u8
CCTV14,http://111.75.151.236:50085/newlive/live/hls/14/live.m3u8
CCTV15,http://66.165.240.154:8080/live/jsydcctv15/hls.m3u8
CCTV15,http://154.yfvodcdn.com:8080/live/jsydcctv15/hls.m3u8
CCTV15,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/cctv15hd8m/8000000/mnf.m3u8
CCTV15,http://58.42.59.104/hljbuv52.live.bestvcdn.com.cn/liveplay-kk.rtxapp.com/live/program/live/cctv15hd8m/8000000/mnf.m3u8
CCTV15,http://58.35.70.169:10055/live/cctv15/hls.m3u8
CCTV15,http://111.75.151.236:50085/newlive/live/hls/15/live.m3u8
CCTV15,http://php.jdshipin.com:8880/bst.php?id=cctv15hd8m/8000000
CCTV16,https://live.goodiptv.club/api/cqyx.php?id=CCTV16_4K
CCTV16,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/cctv16hd8m/8000000/mnf.m3u8
